Month_of_Price,County,Fuel,Price,PhysicalUnit
01/01/2006 12:00:00 AM,US,Gasoline - Regular,2.314,Dollars
01/01/2006 12:00:00 AM,US,Gasoline - Midgrade,2.457,Dollars
01/01/2006 12:00:00 AM,US,Gasoline - Premium,2.546,Dollars
01/01/2006 12:00:00 AM,US,Diesel,2.568,Dollars
01/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.8,Dollars
01/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,2.961,Dollars
01/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.016,Dollars
01/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.271,Dollars
01/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,2.714,Dollars
01/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,2.87,Dollars
01/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,2.924,Dollars
01/01/2006 12:00:00 AM,Honolulu,Diesel,3.25,Dollars
01/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.057,Dollars
01/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.233,Dollars
01/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.293,Dollars
01/01/2006 12:00:00 AM,Wailuku,Diesel,3.475,Dollars
01/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,2.856,Dollars
01/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.02,Dollars
01/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.076,Dollars
01/01/2006 12:00:00 AM,Hilo,Diesel,3.088,Dollars
02/01/2006 12:00:00 AM,US,Gasoline - Regular,2.285,Dollars
02/01/2006 12:00:00 AM,US,Gasoline - Midgrade,2.427,Dollars
02/01/2006 12:00:00 AM,US,Gasoline - Premium,2.515,Dollars
02/01/2006 12:00:00 AM,US,Diesel,2.568,Dollars
02/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.827,Dollars
02/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,2.989,Dollars
02/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.045,Dollars
02/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.264,Dollars
02/01/2006 12:00:00 AM,Honolulu,Gasoline - Regular,2.752,Dollars
02/01/2006 12:00:00 AM,Honolulu,Gasoline - Midgrade,2.91,Dollars
02/01/2006 12:00:00 AM,Honolulu,Gasoline - Premium,2.964,Dollars
02/01/2006 12:00:00 AM,Honolulu,Diesel,3.231,Dollars
02/01/2006 12:00:00 AM,Wailuku,Gasoline - Regular,3.055,Dollars
02/01/2006 12:00:00 AM,Wailuku,Gasoline - Midgrade,3.231,Dollars
02/01/2006 12:00:00 AM,Wailuku,Gasoline - Premium,3.292,Dollars
02/01/2006 12:00:00 AM,Wailuku,Diesel,3.481,Dollars
02/01/2006 12:00:00 AM,Hilo,Gasoline - Regular,2.89,Dollars
02/01/2006 12:00:00 AM,Hilo,Gasoline - Midgrade,3.056,Dollars
02/01/2006 12:00:00 AM,Hilo,Gasoline - Premium,3.113,Dollars
02/01/2006 12:00:00 AM,Hilo,Diesel,3.072,Dollars
03/01/2006 12:00:00 AM,US,Gasoline - Regular,2.418,Dollars
03/01/2006 12:00:00 AM,US,Gasoline - Midgrade,2.567,Dollars
03/01/2006 12:00:00 AM,US,Gasoline - Premium,2.66,Dollars
03/01/2006 12:00:00 AM,US,Diesel,2.629,Dollars
03/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Regular,2.801,Dollars
03/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Midgrade,2.962,Dollars
03/01/2006 12:00:00 AM,State of Hawaii,Gasoline - Premium,3.018,Dollars
03/01/2006 12:00:00 AM,State of Hawaii,Diesel,3.277,Dollars
