Philadelphia, Pennsylvania USA Found:
	Address: Philadelphia, Philadelphia County, Pennsylvania, United States of America
	Lat, Lon: 39.9523993, -75.1635899
For 2001, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2002, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2003, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2004, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2005, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2006, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2007, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2008, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2009, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2010, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2011, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2012, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2013, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2014, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2015, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2016, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
For 2017, found: PHILADELPHIA INTERNATIONAL AI, 724080-13739. Distance: 10.9990580443
